market,symbol,type,description,quote_currency,contract_multiplier,minimum_price_variation,lot_size
bitfinex,ANTBTC,crypto,ANTBTC,BTC,1,0.00001,0.00000001
bitfinex,ANTETH,crypto,ANTETH,ETH,1,0.00001,0.00000001
bitfinex,DTHUSD,crypto,DTHUSD,USD,1,0.00001,0.00000001
bitfinex,DTHBTC,crypto,DTHBTC,BTC,1,0.00001,0.00000001
bitfinex,DTHETH,crypto,DTHETH,ETH,1,0.00001,0.00000001
bitfinex,MITUSD,crypto,MITUSD,USD,1,0.00001,0.00000001
bitfinex,MITBTC,crypto,MITBTC,BTC,1,0.00001,0.00000001
bitfinex,MITETH,crypto,MITETH,ETH,1,0.00001,0.00000001
bitfinex,STJUSD,crypto,STJUSD,USD,1,0.00001,0.00000001
bitfinex,STJBTC,crypto,STJBTC,BTC,1,0.00001,0.00000001
bitfinex,STJETH,crypto,STJETH,ETH,1,0.00001,0.00000001
bitfinex,XLMUSD,crypto,XLMUSD,USD,1,0.00001,0.00000001
bitfinex,XLMEUR,crypto,XLMEUR,EUR,1,0.00001,0.00000001
bitfinex,XLMJPY,crypto,XLMJPY,JPY,1,0.00001,0.00000001
bitfinex,XLMGBP,crypto,XLMGBP,GBP,1,0.00001,0.00000001
bitfinex,XLMBTC,crypto,XLMBTC,BTC,1,0.00001,0.00000001
bitfinex,XLMETH,crypto,XLMETH,ETH,1,0.00001,0.00000001
bitfinex,XVGUSD,crypto,XVGUSD,USD,1,0.00001,0.00000001
bitfinex,XVGEUR,crypto,XVGEUR,EUR,1,0.00001,0.00000001
bitfinex,XVGJPY,crypto,XVGJPY,JPY,1,0.00001,0.00000001
bitfinex,XVGGBP,crypto,XVGGBP,GBP,1,0.00001,0.00000001
bitfinex,XVGBTC,crypto,XVGBTC,BTC,1,0.00001,0.00000001
bitfinex,XVGETH,crypto,XVGETH,ETH,1,0.00001,0.00000001
bitfinex,BCIUSD,crypto,BCIUSD,USD,1,0.00001,0.00000001
bitfinex,BCIBTC,crypto,BCIBTC,BTC,1,0.00001,0.00000001
bitfinex,MKRUSD,crypto,MKRUSD,USD,1,0.00001,0.00000001
bitfinex,MKRBTC,crypto,MKRBTC,BTC,1,0.00001,0.00000001
bitfinex,MKRETH,crypto,MKRETH,ETH,1,0.00001,0.00000001
bitfinex,VENUSD,crypto,VENUSD,USD,1,0.00001,0.00000001
bitfinex,VENBTC,crypto,VENBTC,BTC,1,0.00001,0.00000001
bitfinex,VENETH,crypto,VENETH,ETH,1,0.00001,0.00000001
bitfinex,KNCUSD,crypto,KNCUSD,USD,1,0.00001,0.00000001
bitfinex,KNCBTC,crypto,KNCBTC,BTC,1,0.00001,0.00000001
bitfinex,KNCETH,crypto,KNCETH,ETH,1,0.00001,0.00000001
bitfinex,POAUSD,crypto,POAUSD,USD,1,0.00001,0.00000001
bitfinex,POABTC,crypto,POABTC,BTC,1,0.00001,0.00000001
bitfinex,POAETH,crypto,POAETH,ETH,1,0.00001,0.00000001
bitfinex,LYMUSD,crypto,LYMUSD,USD,1,0.00001,0.00000001
bitfinex,LYMBTC,crypto,LYMBTC,BTC,1,0.00001,0.00000001
bitfinex,LYMETH,crypto,LYMETH,ETH,1,0.00001,0.00000001
bitfinex,UTKUSD,crypto,UTKUSD,USD,1,0.00001,0.00000001
bitfinex,UTKBTC,crypto,UTKBTC,BTC,1,0.00001,0.00000001
bitfinex,UTKETH,crypto,UTKETH,ETH,1,0.00001,0.00000001
bitfinex,VEEUSD,crypto,VEEUSD,USD,1,0.00001,0.00000001
bitfinex,VEEBTC,crypto,VEEBTC,BTC,1,0.00001,0.00000001
bitfinex,VEEETH,crypto,VEEETH,ETH,1,0.00001,0.00000001
bitfinex,DADUSD,crypto,DADUSD,USD,1,0.00001,0.00000001
bitfinex,DADBTC,crypto,DADBTC,BTC,1,0.00001,0.00000001
bitfinex,DADETH,crypto,DADETH,ETH,1,0.00001,0.00000001
bitfinex,ORSUSD,crypto,ORSUSD,USD,1,0.00001,0.00000001
bitfinex,ORSBTC,crypto,ORSBTC,BTC,1,0.00001,0.00000001
bitfinex,ORSETH,crypto,ORSETH,ETH,1,0.00001,0.00000001
bitfinex,AUCUSD,crypto,AUCUSD,USD,1,0.00001,0.00000001
bitfinex,AUCBTC,crypto,AUCBTC,BTC,1,0.00001,0.00000001
bitfinex,AUCETH,crypto,AUCETH,ETH,1,0.00001,0.00000001
bitfinex,POYUSD,crypto,POYUSD,USD,1,0.00001,0.00000001
bitfinex,POYBTC,crypto,POYBTC,BTC,1,0.00001,0.00000001
bitfinex,POYETH,crypto,POYETH,ETH,1,0.00001,0.00000001
bitfinex,FSNUSD,crypto,FSNUSD,USD,1,0.00001,0.00000001
bitfinex,FSNBTC,crypto,FSNBTC,BTC,1,0.00001,0.00000001
bitfinex,FSNETH,crypto,FSNETH,ETH,1,0.00001,0.00000001
bitfinex,CBTUSD,crypto,CBTUSD,USD,1,0.00001,0.00000001
bitfinex,CBTBTC,crypto,CBTBTC,BTC,1,0.00001,0.00000001
bitfinex,CBTETH,crypto,CBTETH,ETH,1,0.00001,0.00000001
bitfinex,ZCNUSD,crypto,ZCNUSD,USD,1,0.00001,0.00000001
bitfinex,ZCNBTC,crypto,ZCNBTC,BTC,1,0.00001,0.00000001
bitfinex,ZCNETH,crypto,ZCNETH,ETH,1,0.00001,0.00000001
bitfinex,SENUSD,crypto,SENUSD,USD,1,0.00001,0.00000001
bitfinex,SENBTC,crypto,SENBTC,BTC,1,0.00001,0.00000001
bitfinex,SENETH,crypto,SENETH,ETH,1,0.00001,0.00000001
bitfinex,NCAUSD,crypto,NCAUSD,USD,1,0.00001,0.00000001
bitfinex,NCABTC,crypto,NCABTC,BTC,1,0.00001,0.00000001
bitfinex,NCAETH,crypto,NCAETH,ETH,1,0.00001,0.00000001
bitfinex,CNDUSD,crypto,CNDUSD,USD,1,0.00001,0.00000001
bitfinex,CNDBTC,crypto,CNDBTC,BTC,1,0.00001,0.00000001
bitfinex,CNDETH,crypto,CNDETH,ETH,1,0.00001,0.00000001
bitfinex,CTXUSD,crypto,CTXUSD,USD,1,0.00001,0.00000001
bitfinex,CTXBTC,crypto,CTXBTC,BTC,1,0.00001,0.00000001
bitfinex,CTXETH,crypto,CTXETH,ETH,1,0.00001,0.00000001
bitfinex,PAIUSD,crypto,PAIUSD,USD,1,0.00001,0.00000001
bitfinex,PAIBTC,crypto,PAIBTC,BTC,1,0.00001,0.00000001
bitfinex,SEEUSD,crypto,SEEUSD,USD,1,0.00001,0.00000001
bitfinex,SEEBTC,crypto,SEEBTC,BTC,1,0.00001,0.00000001
bitfinex,SEEETH,crypto,SEEETH,ETH,1,0.00001,0.00000001
bitfinex,ESSUSD,crypto,ESSUSD,USD,1,0.00001,0.00000001
bitfinex,ESSBTC,crypto,ESSBTC,BTC,1,0.00001,0.00000001
bitfinex,ESSETH,crypto,ESSETH,ETH,1,0.00001,0.00000001
bitfinex,ATMUSD,crypto,ATMUSD,USD,1,0.00001,0.00000001
bitfinex,ATMBTC,crypto,ATMBTC,BTC,1,0.00001,0.00000001
bitfinex,ATMETH,crypto,ATMETH,ETH,1,0.00001,0.00000001
bitfinex,HOTUSD,crypto,HOTUSD,USD,1,0.00001,0.00000001
bitfinex,HOTBTC,crypto,HOTBTC,BTC,1,0.00001,0.00000001
bitfinex,HOTETH,crypto,HOTETH,ETH,1,0.00001,0.00000001
bitfinex,DTAUSD,crypto,DTAUSD,USD,1,0.00001,0.00000001
bitfinex,DTABTC,crypto,DTABTC,BTC,1,0.00001,0.00000001
bitfinex,DTAETH,crypto,DTAETH,ETH,1,0.00001,0.00000001
bitfinex,IQXUSD,crypto,IQXUSD,USD,1,0.00001,0.00000001
bitfinex,IQXBTC,crypto,IQXBTC,BTC,1,0.00001,0.00000001
bitfinex,IQXEOS,crypto,IQXEOS,EOS,1,0.00001,0.00000001
bitfinex,WPRUSD,crypto,WPRUSD,USD,1,0.00001,0.00000001
bitfinex,WPRBTC,crypto,WPRBTC,BTC,1,0.00001,0.00000001
bitfinex,WPRETH,crypto,WPRETH,ETH,1,0.00001,0.00000001
bitfinex,ZILUSD,crypto,ZILUSD,USD,1,0.00001,0.00000001
bitfinex,ZILBTC,crypto,ZILBTC,BTC,1,0.00001,0.00000001
bitfinex,ZILETH,crypto,ZILETH,ETH,1,0.00001,0.00000001
bitfinex,BNTUSD,crypto,BNTUSD,USD,1,0.00001,0.00000001
bitfinex,BNTBTC,crypto,BNTBTC,BTC,1,0.00001,0.00000001
bitfinex,BNTETH,crypto,BNTETH,ETH,1,0.00001,0.00000001
bitfinex,ABSUSD,crypto,ABSUSD,USD,1,0.00001,0.00000001
bitfinex,ABSETH,crypto,ABSETH,ETH,1,0.00001,0.00000001
bitfinex,XRAUSD,crypto,XRAUSD,USD,1,0.00001,0.00000001
bitfinex,XRAETH,crypto,XRAETH,ETH,1,0.00001,0.00000001
bitfinex,MANUSD,crypto,MANUSD,USD,1,0.00001,0.00000001
bitfinex,MANETH,crypto,MANETH,ETH,1,0.00001,0.00000001
bitfinex,BBNUSD,crypto,BBNUSD,USD,1,0.00001,0.00000001
bitfinex,BBNETH,crypto,BBNETH,ETH,1,0.00001,0.00000001
bitfinex,NIOUSD,crypto,NIOUSD,USD,1,0.00001,0.00000001
bitfinex,NIOETH,crypto,NIOETH,ETH,1,0.00001,0.00000001
bitfinex,DGXUSD,crypto,DGXUSD,USD,1,0.00001,0.00000001
bitfinex,DGXETH,crypto,DGXETH,ETH,1,0.00001,0.00000001
bitfinex,VETUSD,crypto,VETUSD,USD,1,0.00001,0.00000001
bitfinex,VETBTC,crypto,VETBTC,BTC,1,0.00001,0.00000001
bitfinex,VETETH,crypto,VETETH,ETH,1,0.00001,0.00000001
bitfinex,UTNUSD,crypto,UTNUSD,USD,1,0.00001,0.00000001
bitfinex,UTNETH,crypto,UTNETH,ETH,1,0.00001,0.00000001
bitfinex,TKNUSD,crypto,TKNUSD,USD,1,0.00001,0.00000001
bitfinex,TKNETH,crypto,TKNETH,ETH,1,0.00001,0.00000001
bitfinex,GOTUSD,crypto,GOTUSD,USD,1,0.00001,0.00000001
bitfinex,GOTEUR,crypto,GOTEUR,EUR,1,0.00001,0.00000001
bitfinex,GOTETH,crypto,GOTETH,ETH,1,0.00001,0.00000001
bitfinex,XTZUSD,crypto,XTZUSD,USD,1,0.00001,0.00000001
bitfinex,XTZBTC,crypto,XTZBTC,BTC,1,0.00001,0.00000001
bitfinex,CNNUSD,crypto,CNNUSD,USD,1,0.00001,0.00000001
bitfinex,CNNETH,crypto,CNNETH,ETH,1,0.00001,0.00000001
bitfinex,BOXUSD,crypto,BOXUSD,USD,1,0.00001,0.00000001
bitfinex,BOXETH,crypto,BOXETH,ETH,1,0.00001,0.00000001
bitfinex,TRXEUR,crypto,TRXEUR,EUR,1,0.00001,0.00000001
bitfinex,TRXGBP,crypto,TRXGBP,GBP,1,0.00001,0.00000001
bitfinex,TRXJPY,crypto,TRXJPY,JPY,1,0.00001,0.00000001
bitfinex,MGOUSD,crypto,MGOUSD,USD,1,0.00001,0.00000001
bitfinex,MGOETH,crypto,MGOETH,ETH,1,0.00001,0.00000001
bitfinex,RTEUSD,crypto,RTEUSD,USD,1,0.00001,0.00000001
bitfinex,RTEETH,crypto,RTEETH,ETH,1,0.00001,0.00000001
bitfinex,YGGUSD,crypto,YGGUSD,USD,1,0.00001,0.00000001
bitfinex,YGGETH,crypto,YGGETH,ETH,1,0.00001,0.00000001
bitfinex,MLNUSD,crypto,MLNUSD,USD,1,0.00001,0.00000001
bitfinex,MLNETH,crypto,MLNETH,ETH,1,0.00001,0.00000001
bitfinex,WTCUSD,crypto,WTCUSD,USD,1,0.00001,0.00000001
bitfinex,WTCETH,crypto,WTCETH,ETH,1,0.00001,0.00000001
bitfinex,CSXUSD,crypto,CSXUSD,USD,1,0.00001,0.00000001
bitfinex,CSXETH,crypto,CSXETH,ETH,1,0.00001,0.00000001
bitfinex,OMNUSD,crypto,OMNUSD,USD,1,0.00001,0.00000001
bitfinex,OMNBTC,crypto,OMNBTC,BTC,1,0.00001,0.00000001
bitfinex,INTUSD,crypto,INTUSD,USD,1,0.00001,0.00000001
bitfinex,INTETH,crypto,INTETH,ETH,1,0.00001,0.00000001
bitfinex,DRNUSD,crypto,DRNUSD,USD,1,0.00001,0.00000001
bitfinex,DRNETH,crypto,DRNETH,ETH,1,0.00001,0.00000001
bitfinex,PNKUSD,crypto,PNKUSD,USD,1,0.00001,0.00000001
bitfinex,PNKETH,crypto,PNKETH,ETH,1,0.00001,0.00000001
bitfinex,DGBUSD,crypto,DGBUSD,USD,1,0.00001,0.00000001
bitfinex,DGBBTC,crypto,DGBBTC,BTC,1,0.00001,0.00000001
bitfinex,BSVUSD,crypto,BSVUSD,USD,1,0.00001,0.00000001
bitfinex,BSVBTC,crypto,BSVBTC,BTC,1,0.00001,0.00000001
bitfinex,BABUSD,crypto,BABUSD,USD,1,0.00001,0.00000001
bitfinex,BABBTC,crypto,BABBTC,BTC,1,0.00001,0.00000001
bitfinex,WLOUSD,crypto,WLOUSD,USD,1,0.00001,0.00000001
bitfinex,WLOXLM,crypto,WLOXLM,XLM,1,0.00001,0.00000001
bitfinex,VLDUSD,crypto,VLDUSD,USD,1,0.00001,0.00000001
bitfinex,VLDETH,crypto,VLDETH,ETH,1,0.00001,0.00000001
bitfinex,ENJUSD,crypto,ENJUSD,USD,1,0.00001,0.00000001
bitfinex,ENJETH,crypto,ENJETH,ETH,1,0.00001,0.00000001
bitfinex,ONLUSD,crypto,ONLUSD,USD,1,0.00001,0.00000001
bitfinex,ONLETH,crypto,ONLETH,ETH,1,0.00001,0.00000001
bitfinex,RBTUSD,crypto,RBTUSD,USD,1,0.00001,0.00000001
bitfinex,RBTBTC,crypto,RBTBTC,BTC,1,0.00001,0.00000001
bitfinex,USTUSD,crypto,USTUSD,USD,1,0.00001,0.00000001
bitfinex,EUTEUR,crypto,EUTEUR,EUR,1,0.00001,0.00000001
bitfinex,EUTUSD,crypto,EUTUSD,USD,1,0.00001,0.00000001
bitfinex,GSDUSD,crypto,GSDUSD,USD,1,0.00001,0.00000001
bitfinex,UDCUSD,crypto,UDCUSD,USD,1,0.00001,0.00000001
bitfinex,TSDUSD,crypto,TSDUSD,USD,1,0.00001,0.00000001
bitfinex,PAXUSD,crypto,PAXUSD,USD,1,0.00001,0.00000001
bitfinex,RIFUSD,crypto,RIFUSD,USD,1,0.00001,0.00000001
bitfinex,RIFBTC,crypto,RIFBTC,BTC,1,0.00001,0.00000001
bitfinex,PASUSD,crypto,PASUSD,USD,1,0.00001,0.00000001
bitfinex,PASETH,crypto,PASETH,ETH,1,0.00001,0.00000001
bitfinex,VSYUSD,crypto,VSYUSD,USD,1,0.00001,0.00000001
bitfinex,VSYBTC,crypto,VSYBTC,BTC,1,0.00001,0.00000001
bitfinex,ZRXDAI,crypto,ZRXDAI,DAI,1,0.00001,0.00000001
bitfinex,MKRDAI,crypto,MKRDAI,DAI,1,0.00001,0.00000001
bitfinex,OMGDAI,crypto,OMGDAI,DAI,1,0.00001,0.00000001

binance,ETHBTC,crypto,ETHBTC,BTC,1,0.00000100,0.00100000
binance,LTCBTC,crypto,LTCBTC,BTC,1,0.00000100,0.01000000
binance,BNBBTC,crypto,BNBBTC,BTC,1,0.00000010,0.01000000
binance,NEOBTC,crypto,NEOBTC,BTC,1,0.00000100,0.01000000
binance,QTUMETH,crypto,QTUMETH,ETH,1,0.00000100,0.01000000
binance,EOSETH,crypto,EOSETH,ETH,1,0.00000100,0.01000000
binance,SNTETH,crypto,SNTETH,ETH,1,0.00000001,1.00000000
binance,BNTETH,crypto,BNTETH,ETH,1,0.00000100,0.01000000
binance,BCCBTC,crypto,BCCBTC,BTC,1,0.00000100,0.00100000
binance,GASBTC,crypto,GASBTC,BTC,1,0.00000100,0.01000000
binance,BNBETH,crypto,BNBETH,ETH,1,0.00000100,0.01000000
binance,BTCUSDT,crypto,BTCUSDT,USDT,1,0.01000000,0.00000100
binance,ETHUSDT,crypto,ETHUSDT,USDT,1,0.01000000,0.00001000
binance,HSRBTC,crypto,HSRBTC,BTC,1,0.00000100,0.01000000
binance,OAXETH,crypto,OAXETH,ETH,1,0.00000010,1.00000000
binance,DNTETH,crypto,DNTETH,ETH,1,0.00000001,1.00000000
binance,MCOETH,crypto,MCOETH,ETH,1,0.00000100,0.01000000
binance,ICNETH,crypto,ICNETH,ETH,1,0.00000010,1.00000000
binance,MCOBTC,crypto,MCOBTC,BTC,1,0.00000100,0.01000000
binance,WTCBTC,crypto,WTCBTC,BTC,1,0.00000010,0.01000000
binance,WTCETH,crypto,WTCETH,ETH,1,0.00000100,0.01000000
binance,LRCBTC,crypto,LRCBTC,BTC,1,0.00000001,1.00000000
binance,LRCETH,crypto,LRCETH,ETH,1,0.00000001,1.00000000
binance,QTUMBTC,crypto,QTUMBTC,BTC,1,0.00000100,0.01000000
binance,YOYOBTC,crypto,YOYOBTC,BTC,1,0.00000001,1.00000000
binance,OMGBTC,crypto,OMGBTC,BTC,1,0.00000100,0.01000000
binance,OMGETH,crypto,OMGETH,ETH,1,0.00000100,0.01000000
binance,ZRXBTC,crypto,ZRXBTC,BTC,1,0.00000001,1.00000000
binance,ZRXETH,crypto,ZRXETH,ETH,1,0.00000001,1.00000000
binance,STRATBTC,crypto,STRATBTC,BTC,1,0.00000010,0.01000000
binance,STRATETH,crypto,STRATETH,ETH,1,0.00000100,0.01000000
binance,SNGLSBTC,crypto,SNGLSBTC,BTC,1,0.00000001,1.00000000
binance,SNGLSETH,crypto,SNGLSETH,ETH,1,0.00000001,1.00000000
binance,BQXBTC,crypto,BQXBTC,BTC,1,0.00000001,1.00000000
binance,BQXETH,crypto,BQXETH,ETH,1,0.00000010,1.00000000
binance,KNCBTC,crypto,KNCBTC,BTC,1,0.00000001,1.00000000
binance,KNCETH,crypto,KNCETH,ETH,1,0.00000010,1.00000000
binance,FUNBTC,crypto,FUNBTC,BTC,1,0.00000001,1.00000000
binance,FUNETH,crypto,FUNETH,ETH,1,0.00000001,1.00000000
binance,SNMBTC,crypto,SNMBTC,BTC,1,0.00000001,1.00000000
binance,SNMETH,crypto,SNMETH,ETH,1,0.00000001,1.00000000
binance,NEOETH,crypto,NEOETH,ETH,1,0.00000100,0.01000000
binance,IOTABTC,crypto,IOTABTC,BTC,1,0.00000001,1.00000000
binance,IOTAETH,crypto,IOTAETH,ETH,1,0.00000001,1.00000000
binance,LINKBTC,crypto,LINKBTC,BTC,1,0.00000001,1.00000000
binance,LINKETH,crypto,LINKETH,ETH,1,0.00000001,1.00000000
binance,XVGBTC,crypto,XVGBTC,BTC,1,0.00000001,1.00000000
binance,XVGETH,crypto,XVGETH,ETH,1,0.00000001,1.00000000
binance,SALTBTC,crypto,SALTBTC,BTC,1,0.00000010,0.01000000
binance,SALTETH,crypto,SALTETH,ETH,1,0.00000100,0.01000000
binance,MDABTC,crypto,MDABTC,BTC,1,0.00000001,1.00000000
binance,MDAETH,crypto,MDAETH,ETH,1,0.00000010,1.00000000
binance,MTLBTC,crypto,MTLBTC,BTC,1,0.00000010,0.01000000
binance,MTLETH,crypto,MTLETH,ETH,1,0.00000100,0.01000000
binance,SUBBTC,crypto,SUBBTC,BTC,1,0.00000001,1.00000000
binance,SUBETH,crypto,SUBETH,ETH,1,0.00000001,1.00000000
binance,EOSBTC,crypto,EOSBTC,BTC,1,0.00000010,0.01000000
binance,SNTBTC,crypto,SNTBTC,BTC,1,0.00000001,1.00000000
binance,ETCETH,crypto,ETCETH,ETH,1,0.00000100,0.01000000
binance,ETCBTC,crypto,ETCBTC,BTC,1,0.00000100,0.01000000
binance,MTHBTC,crypto,MTHBTC,BTC,1,0.00000001,1.00000000
binance,MTHETH,crypto,MTHETH,ETH,1,0.00000001,1.00000000
binance,ENGBTC,crypto,ENGBTC,BTC,1,0.00000001,1.00000000
binance,ENGETH,crypto,ENGETH,ETH,1,0.00000010,1.00000000
binance,DNTBTC,crypto,DNTBTC,BTC,1,0.00000001,1.00000000
binance,ZECBTC,crypto,ZECBTC,BTC,1,0.00000100,0.00100000
binance,ZECETH,crypto,ZECETH,ETH,1,0.00001000,0.00100000
binance,BNTBTC,crypto,BNTBTC,BTC,1,0.00000001,1.00000000
binance,ASTBTC,crypto,ASTBTC,BTC,1,0.00000001,1.00000000
binance,ASTETH,crypto,ASTETH,ETH,1,0.00000010,1.00000000
binance,DASHBTC,crypto,DASHBTC,BTC,1,0.00000100,0.00100000
binance,DASHETH,crypto,DASHETH,ETH,1,0.00001000,0.00100000
binance,OAXBTC,crypto,OAXBTC,BTC,1,0.00000001,1.00000000
binance,ICNBTC,crypto,ICNBTC,BTC,1,0.00000001,1.00000000
binance,BTGBTC,crypto,BTGBTC,BTC,1,0.00000100,0.01000000
binance,BTGETH,crypto,BTGETH,ETH,1,0.00000100,0.01000000
binance,EVXBTC,crypto,EVXBTC,BTC,1,0.00000001,1.00000000
binance,EVXETH,crypto,EVXETH,ETH,1,0.00000010,1.00000000
binance,REQBTC,crypto,REQBTC,BTC,1,0.00000001,1.00000000
binance,REQETH,crypto,REQETH,ETH,1,0.00000001,1.00000000
binance,VIBBTC,crypto,VIBBTC,BTC,1,0.00000001,1.00000000
binance,VIBETH,crypto,VIBETH,ETH,1,0.00000001,1.00000000
binance,HSRETH,crypto,HSRETH,ETH,1,0.00000100,0.01000000
binance,TRXBTC,crypto,TRXBTC,BTC,1,0.00000001,1.00000000
binance,TRXETH,crypto,TRXETH,ETH,1,0.00000001,1.00000000
binance,POWRBTC,crypto,POWRBTC,BTC,1,0.00000001,1.00000000
binance,POWRETH,crypto,POWRETH,ETH,1,0.00000001,1.00000000
binance,ARKBTC,crypto,ARKBTC,BTC,1,0.00000010,0.01000000
binance,ARKETH,crypto,ARKETH,ETH,1,0.00000100,0.01000000
binance,YOYOETH,crypto,YOYOETH,ETH,1,0.00000001,1.00000000
binance,XRPBTC,crypto,XRPBTC,BTC,1,0.00000001,1.00000000
binance,XRPETH,crypto,XRPETH,ETH,1,0.00000001,1.00000000
binance,MODBTC,crypto,MODBTC,BTC,1,0.00000010,0.01000000
binance,MODETH,crypto,MODETH,ETH,1,0.00000100,0.01000000
binance,ENJBTC,crypto,ENJBTC,BTC,1,0.00000001,1.00000000
binance,ENJETH,crypto,ENJETH,ETH,1,0.00000001,1.00000000
binance,STORJBTC,crypto,STORJBTC,BTC,1,0.00000001,1.00000000
binance,STORJETH,crypto,STORJETH,ETH,1,0.00000010,1.00000000
binance,BNBUSDT,crypto,BNBUSDT,USDT,1,0.00010000,0.01000000
binance,VENBNB,crypto,VENBNB,BNB,1,0.00010000,0.01000000
binance,YOYOBNB,crypto,YOYOBNB,BNB,1,0.00000100,1.00000000
binance,POWRBNB,crypto,POWRBNB,BNB,1,0.00001000,0.10000000
binance,VENBTC,crypto,VENBTC,BTC,1,0.00000001,1.00000000
binance,VENETH,crypto,VENETH,ETH,1,0.00000001,1.00000000
binance,KMDBTC,crypto,KMDBTC,BTC,1,0.00000010,0.01000000
binance,KMDETH,crypto,KMDETH,ETH,1,0.00000100,0.01000000
binance,NULSBNB,crypto,NULSBNB,BNB,1,0.00001000,0.10000000
binance,RCNBTC,crypto,RCNBTC,BTC,1,0.00000001,1.00000000
binance,RCNETH,crypto,RCNETH,ETH,1,0.00000001,1.00000000
binance,RCNBNB,crypto,RCNBNB,BNB,1,0.00000100,1.00000000
binance,NULSBTC,crypto,NULSBTC,BTC,1,0.00000001,1.00000000
binance,NULSETH,crypto,NULSETH,ETH,1,0.00000001,1.00000000
binance,RDNBTC,crypto,RDNBTC,BTC,1,0.00000001,1.00000000
binance,RDNETH,crypto,RDNETH,ETH,1,0.00000010,1.00000000
binance,RDNBNB,crypto,RDNBNB,BNB,1,0.00001000,0.10000000
binance,XMRBTC,crypto,XMRBTC,BTC,1,0.00000100,0.00100000
binance,XMRETH,crypto,XMRETH,ETH,1,0.00001000,0.00100000
binance,DLTBNB,crypto,DLTBNB,BNB,1,0.00001000,0.10000000
binance,WTCBNB,crypto,WTCBNB,BNB,1,0.00010000,0.01000000
binance,DLTBTC,crypto,DLTBTC,BTC,1,0.00000001,1.00000000
binance,DLTETH,crypto,DLTETH,ETH,1,0.00000001,1.00000000
binance,AMBBTC,crypto,AMBBTC,BTC,1,0.00000001,1.00000000
binance,AMBETH,crypto,AMBETH,ETH,1,0.00000001,1.00000000
binance,AMBBNB,crypto,AMBBNB,BNB,1,0.00001000,0.10000000
binance,BCCETH,crypto,BCCETH,ETH,1,0.00001000,0.00100000
binance,BCCUSDT,crypto,BCCUSDT,USDT,1,0.01000000,0.00001000
binance,BCCBNB,crypto,BCCBNB,BNB,1,0.01000000,0.00001000
binance,BATBTC,crypto,BATBTC,BTC,1,0.00000001,1.00000000
binance,BATETH,crypto,BATETH,ETH,1,0.00000001,1.00000000
binance,BATBNB,crypto,BATBNB,BNB,1,0.00001000,0.10000000
binance,BCPTBTC,crypto,BCPTBTC,BTC,1,0.00000001,1.00000000
binance,BCPTETH,crypto,BCPTETH,ETH,1,0.00000001,1.00000000
binance,BCPTBNB,crypto,BCPTBNB,BNB,1,0.00001000,0.10000000
binance,ARNBTC,crypto,ARNBTC,BTC,1,0.00000001,1.00000000
binance,ARNETH,crypto,ARNETH,ETH,1,0.00000001,1.00000000
binance,GVTBTC,crypto,GVTBTC,BTC,1,0.00000010,0.01000000
binance,GVTETH,crypto,GVTETH,ETH,1,0.00000100,0.01000000
binance,CDTBTC,crypto,CDTBTC,BTC,1,0.00000001,1.00000000
binance,CDTETH,crypto,CDTETH,ETH,1,0.00000001,1.00000000
binance,GXSBTC,crypto,GXSBTC,BTC,1,0.00000010,0.01000000
binance,GXSETH,crypto,GXSETH,ETH,1,0.00000100,0.01000000
binance,NEOUSDT,crypto,NEOUSDT,USDT,1,0.00100000,0.00100000
binance,NEOBNB,crypto,NEOBNB,BNB,1,0.00100000,0.00100000
binance,POEBTC,crypto,POEBTC,BTC,1,0.00000001,1.00000000
binance,POEETH,crypto,POEETH,ETH,1,0.00000001,1.00000000
binance,QSPBTC,crypto,QSPBTC,BTC,1,0.00000001,1.00000000
binance,QSPETH,crypto,QSPETH,ETH,1,0.00000001,1.00000000
binance,QSPBNB,crypto,QSPBNB,BNB,1,0.00000100,1.00000000
binance,BTSBTC,crypto,BTSBTC,BTC,1,0.00000001,1.00000000
binance,BTSETH,crypto,BTSETH,ETH,1,0.00000001,1.00000000
binance,BTSBNB,crypto,BTSBNB,BNB,1,0.00001000,0.10000000
binance,XZCBTC,crypto,XZCBTC,BTC,1,0.00000100,0.01000000
binance,XZCETH,crypto,XZCETH,ETH,1,0.00000100,0.01000000
binance,XZCBNB,crypto,XZCBNB,BNB,1,0.00100000,0.00100000
binance,LSKBTC,crypto,LSKBTC,BTC,1,0.00000010,0.01000000
binance,LSKETH,crypto,LSKETH,ETH,1,0.00000100,0.01000000
binance,LSKBNB,crypto,LSKBNB,BNB,1,0.00010000,0.01000000
binance,TNTBTC,crypto,TNTBTC,BTC,1,0.00000001,1.00000000
binance,TNTETH,crypto,TNTETH,ETH,1,0.00000001,1.00000000
binance,FUELBTC,crypto,FUELBTC,BTC,1,0.00000001,1.00000000
binance,FUELETH,crypto,FUELETH,ETH,1,0.00000001,1.00000000
binance,MANABTC,crypto,MANABTC,BTC,1,0.00000001,1.00000000
binance,MANAETH,crypto,MANAETH,ETH,1,0.00000001,1.00000000
binance,BCDBTC,crypto,BCDBTC,BTC,1,0.00000100,0.00100000
binance,BCDETH,crypto,BCDETH,ETH,1,0.00001000,0.00100000
binance,DGDBTC,crypto,DGDBTC,BTC,1,0.00000100,0.00100000
binance,DGDETH,crypto,DGDETH,ETH,1,0.00001000,0.00100000
